Year,Country,State,Bacteria,Antibiotic,Resistance%,Resistant_Count,Number_of_Isolates,Specimen_Type,Age_Group,Percent_Male,Lab_Method,MDR_Flag
2022,Uk,Northern Ireland,Staphylococcus aureus,Oxacillin,34.8,49,142,Blood,Nov-20,45,MIC (Automated),0
2021,Uk,Scotland,Staphylococcus aureus,Amikacin,25.0,39,157,CSF,60+,45,Broth Microdilution,0
2020,Uk,Northern Ireland,Klebsiella pneumoniae,Oxacillin,30.3,23,76,Blood,60+,45,E-test,0
2023,India,Kerala,E.coli,Oxacillin,42.4,104,245,Wound,60+,50,MIC (Automated),0
2015,Usa,Florida,Klebsiella pneumoniae,Amikacin,34.8,43,124,Sputum,41-60,50,Broth Microdilution,0
2019,Uk,England,Staphylococcus aureus,Meropenem,22.5,47,211,Wound,41-60,50,Broth Microdilution,0
2024,India,Kerala,Staphylococcus aureus,Oxacillin,29.6,70,238,Sputum,0-10,55,Broth Microdilution,0
2023,Usa,Texas,Pseudomonas aeruginosa,Meropenem,43.6,113,259,Sputum,21-40,50,E-test,0
2016,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,20.0,35,174,CSF,0-10,55,Broth Microdilution,0
2022,India,Maharashtra,Staphylococcus aureus,Ciprofloxacin,31.7,85,269,Wound,41-60,55,E-test,0
2023,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,24.8,79,318,Urine,41-60,55,E-test,0
2015,India,Delhi,Staphylococcus aureus,Meropenem,27.5,84,305,Urine,41-60,55,MIC (Automated),0
2022,Uk,Scotland,E.coli,Ciprofloxacin,38.6,66,170,CSF,41-60,45,Disk Diffusion,0
2022,India,Kerala,Klebsiella pneumoniae,Ciprofloxacin,41.8,108,258,Wound,Nov-20,45,Broth Microdilution,0
2022,India,Kerala,Pseudomonas aeruginosa,Ciprofloxacin,46.6,78,167,Sputum,Nov-20,45,E-test,0
2020,India,Kerala,E.coli,Amikacin,29.1,74,255,Sputum,Nov-20,45,Disk Diffusion,0
2016,Usa,New York,Klebsiella pneumoniae,Ciprofloxacin,40.8,57,139,Wound,60+,55,Broth Microdilution,0
2023,India,Tamil Nadu,Pseudomonas aeruginosa,Ciprofloxacin,43.8,99,226,Sputum,Nov-20,55,MIC (Automated),0
2022,Uk,Northern Ireland,Pseudomonas aeruginosa,Meropenem,23.5,46,195,Urine,60+,55,MIC (Automated),0
2021,Uk,Scotland,Staphylococcus aureus,Meropenem,27.3,97,356,Blood,21-40,50,MIC (Automated),0
2019,India,Maharashtra,Staphylococcus aureus,Amikacin,33.4,54,162,CSF,41-60,50,MIC (Automated),0
2019,India,Kerala,Klebsiella pneumoniae,Oxacillin,37.8,57,152,Sputum,0-10,45,MIC (Automated),0
2018,India,Kerala,E.coli,Ciprofloxacin,33.3,86,259,Blood,Nov-20,45,Broth Microdilution,0
2020,Usa,Florida,Staphylococcus aureus,Oxacillin,27.2,65,239,Blood,21-40,45,E-test,0
2016,Uk,Scotland,Klebsiella pneumoniae,Ciprofloxacin,29.9,79,263,CSF,21-40,55,Broth Microdilution,0
2018,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,33.1,52,156,CSF,60+,45,Broth Microdilution,0
2022,India,Kerala,Pseudomonas aeruginosa,Amikacin,40.1,65,162,Sputum,41-60,45,Disk Diffusion,0
2017,Uk,Scotland,Pseudomonas aeruginosa,Ciprofloxacin,30.3,60,198,CSF,Nov-20,45,Broth Microdilution,0
2024,India,Delhi,Staphylococcus aureus,Meropenem,37.5,54,145,Blood,60+,45,MIC (Automated),0
2020,Uk,Scotland,E.coli,Meropenem,24.9,46,184,Sputum,0-10,50,Disk Diffusion,0
2022,Usa,Texas,Staphylococcus aureus,Oxacillin,33.1,59,178,Urine,21-40,50,Disk Diffusion,0
2019,Uk,Northern Ireland,E.coli,Amikacin,27.8,58,209,Urine,0-10,45,Broth Microdilution,0
2020,Uk,England,E.coli,Ciprofloxacin,30.1,35,115,CSF,0-10,45,Disk Diffusion,0
2016,India,Tamil Nadu,Staphylococcus aureus,Oxacillin,37.3,104,278,Sputum,0-10,55,Disk Diffusion,0
2020,India,Tamil Nadu,Klebsiella pneumoniae,Meropenem,38.3,56,146,CSF,Nov-20,50,Broth Microdilution,0
2015,Usa,Florida,Staphylococcus aureus,Meropenem,11.9,27,224,Blood,21-40,45,Disk Diffusion,0
2020,India,Maharashtra,Staphylococcus aureus,Oxacillin,19.9,59,298,Wound,21-40,55,E-test,0
2019,Usa,Florida,E.coli,Amikacin,24.7,35,143,Blood,Nov-20,50,E-test,0
2018,Uk,Scotland,E.coli,Meropenem,23.4,32,138,CSF,0-10,50,E-test,0
2024,India,Tamil Nadu,E.coli,Meropenem,32.7,45,138,Wound,Nov-20,55,E-test,0
2019,Usa,Texas,Pseudomonas aeruginosa,Meropenem,30.8,71,231,CSF,41-60,45,MIC (Automated),0
2019,Uk,Scotland,Staphylococcus aureus,Meropenem,26.0,108,414,Blood,Nov-20,55,Broth Microdilution,0
2019,Uk,Scotland,E.coli,Amikacin,27.5,52,189,Sputum,60+,55,E-test,0
2024,Usa,California,Staphylococcus aureus,Oxacillin,30.3,76,250,CSF,60+,55,E-test,0
2016,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,23.9,67,279,Sputum,Nov-20,55,Broth Microdilution,0
2022,India,Maharashtra,Klebsiella pneumoniae,Oxacillin,44.4,143,321,Blood,60+,55,MIC (Automated),0
2017,Usa,Texas,Pseudomonas aeruginosa,Meropenem,27.1,63,234,Wound,0-10,45,MIC (Automated),0
2022,Usa,Texas,Klebsiella pneumoniae,Amikacin,39.5,114,289,Urine,41-60,50,E-test,0
2018,Uk,England,E.coli,Oxacillin,28.8,16,55,Blood,41-60,55,Broth Microdilution,0
2023,Uk,England,Staphylococcus aureus,Amikacin,16.4,46,278,Sputum,Nov-20,50,Disk Diffusion,0
2023,Uk,Northern Ireland,E.coli,Oxacillin,28.5,68,240,Wound,0-10,50,E-test,0
2019,Usa,Florida,E.coli,Ciprofloxacin,25.1,54,217,Sputum,21-40,45,MIC (Automated),0
2022,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,37.7,58,155,CSF,41-60,50,Disk Diffusion,0
2020,India,Tamil Nadu,Pseudomonas aeruginosa,Amikacin,34.6,57,165,Blood,60+,50,Broth Microdilution,0
2018,Uk,England,E.coli,Amikacin,22.8,49,216,Wound,0-10,45,Disk Diffusion,0
2021,India,Maharashtra,E.coli,Oxacillin,30.9,42,135,Wound,0-10,45,Disk Diffusion,0
2022,Uk,Wales,Staphylococcus aureus,Amikacin,35.9,59,164,CSF,Nov-20,45,E-test,0
2021,Uk,Northern Ireland,E.coli,Oxacillin,23.9,43,179,Sputum,0-10,55,E-test,0
2017,Uk,Scotland,E.coli,Ciprofloxacin,24.0,74,307,Sputum,Nov-20,55,E-test,0
2017,India,Delhi,Pseudomonas aeruginosa,Meropenem,41.5,54,129,Sputum,21-40,45,MIC (Automated),0
2022,Uk,England,Pseudomonas aeruginosa,Meropenem,40.0,120,301,Wound,41-60,45,E-test,0
2017,India,Delhi,Klebsiella pneumoniae,Meropenem,35.3,64,181,Blood,21-40,45,MIC (Automated),0
2016,Usa,California,Staphylococcus aureus,Ciprofloxacin,20.1,37,183,CSF,Nov-20,45,MIC (Automated),0
2015,Uk,Northern Ireland,Staphylococcus aureus,Ciprofloxacin,21.4,55,257,Sputum,Nov-20,50,Broth Microdilution,0
2024,Uk,Wales,Staphylococcus aureus,Oxacillin,42.6,100,234,Urine,60+,45,Broth Microdilution,0
2017,India,Delhi,E.coli,Ciprofloxacin,29.7,58,195,Sputum,41-60,55,Disk Diffusion,0
2018,Usa,California,Staphylococcus aureus,Meropenem,22.5,79,351,Sputum,0-10,45,MIC (Automated),0
2020,Usa,California,Klebsiella pneumoniae,Oxacillin,30.8,52,168,Sputum,Nov-20,45,Broth Microdilution,0
2016,India,Delhi,E.coli,Amikacin,22.5,45,198,CSF,Nov-20,55,MIC (Automated),0
2020,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,36.7,89,243,Sputum,60+,55,E-test,0
2022,Usa,California,Pseudomonas aeruginosa,Ciprofloxacin,42.2,85,202,Wound,Nov-20,50,E-test,0
2015,India,Maharashtra,Staphylococcus aureus,Oxacillin,26.7,87,327,Sputum,60+,45,E-test,0
2024,India,Tamil Nadu,Staphylococcus aureus,Meropenem,43.8,141,323,CSF,41-60,50,E-test,0
2016,Uk,Wales,E.coli,Amikacin,19.3,43,221,Urine,41-60,50,Broth Microdilution,0
2019,Uk,England,Pseudomonas aeruginosa,Meropenem,38.4,28,73,Sputum,60+,45,Disk Diffusion,0
2022,Uk,England,Staphylococcus aureus,Meropenem,21.5,28,128,CSF,41-60,55,MIC (Automated),0
2021,India,Kerala,Klebsiella pneumoniae,Ciprofloxacin,46.6,96,205,Urine,0-10,45,E-test,0
2015,Usa,Texas,Pseudomonas aeruginosa,Oxacillin,28.8,56,193,Urine,41-60,50,Disk Diffusion,0
2016,Usa,Florida,Pseudomonas aeruginosa,Oxacillin,26.5,65,247,Blood,0-10,55,MIC (Automated),0
2024,Usa,New York,Staphylococcus aureus,Ciprofloxacin,44.9,57,127,Blood,Nov-20,50,E-test,0
2024,Uk,Northern Ireland,Klebsiella pneumoniae,Ciprofloxacin,41.6,78,187,Wound,60+,50,Disk Diffusion,0
2016,India,Delhi,E.coli,Oxacillin,36.7,89,243,CSF,21-40,45,MIC (Automated),0
2020,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,30.8,78,252,Blood,60+,55,E-test,0
2016,Uk,England,E.coli,Meropenem,22.3,39,174,Blood,0-10,55,Broth Microdilution,0
2022,Uk,Wales,Pseudomonas aeruginosa,Oxacillin,30.8,72,234,Blood,0-10,45,Broth Microdilution,0
2019,Uk,Wales,E.coli,Ciprofloxacin,33.1,59,177,Urine,41-60,55,E-test,0
2019,Usa,New York,E.coli,Amikacin,26.5,37,139,Sputum,Nov-20,50,Broth Microdilution,0
2018,India,Maharashtra,Klebsiella pneumoniae,Oxacillin,43.9,36,82,Wound,60+,55,E-test,0
2015,Uk,Scotland,Pseudomonas aeruginosa,Ciprofloxacin,32.6,124,381,CSF,60+,50,E-test,0
2015,Usa,New York,Pseudomonas aeruginosa,Amikacin,22.7,31,135,Sputum,21-40,55,Broth Microdilution,0
2017,India,Delhi,Staphylococcus aureus,Oxacillin,24.7,34,139,Sputum,21-40,50,Disk Diffusion,0
2019,Uk,Wales,Klebsiella pneumoniae,Meropenem,30.4,83,272,Urine,60+,55,E-test,0
2016,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,33.5,75,225,Sputum,60+,55,Disk Diffusion,0
2016,Usa,Texas,Staphylococcus aureus,Meropenem,18.3,22,118,CSF,Nov-20,55,MIC (Automated),0
2017,Usa,Florida,Staphylococcus aureus,Meropenem,25.4,76,300,CSF,Nov-20,55,MIC (Automated),0
2015,Uk,Northern Ireland,Pseudomonas aeruginosa,Oxacillin,29.0,50,172,Blood,Nov-20,50,Broth Microdilution,0
2016,Usa,California,Klebsiella pneumoniae,Meropenem,37.8,77,203,Sputum,Nov-20,55,Disk Diffusion,0
2024,India,Maharashtra,Pseudomonas aeruginosa,Ciprofloxacin,53.9,93,173,CSF,41-60,55,Broth Microdilution,1
2023,Usa,Florida,Staphylococcus aureus,Ciprofloxacin,29.9,53,177,Blood,60+,45,MIC (Automated),0
2017,India,Kerala,Klebsiella pneumoniae,Amikacin,35.7,51,143,Sputum,0-10,55,Disk Diffusion,0
2024,Usa,Texas,Klebsiella pneumoniae,Amikacin,30.6,87,283,Blood,21-40,45,E-test,0
2024,India,Delhi,Staphylococcus aureus,Oxacillin,35.1,61,174,Wound,0-10,50,E-test,0
2024,India,Kerala,Pseudomonas aeruginosa,Amikacin,43.5,13,30,Wound,41-60,55,Broth Microdilution,0
2018,Usa,New York,Klebsiella pneumoniae,Oxacillin,38.1,115,303,Wound,Nov-20,55,MIC (Automated),0
2019,Usa,Texas,Klebsiella pneumoniae,Oxacillin,24.2,44,181,Urine,41-60,45,E-test,0
2017,Uk,England,Klebsiella pneumoniae,Meropenem,38.0,103,270,Wound,21-40,45,E-test,0
2019,India,Kerala,Staphylococcus aureus,Meropenem,31.1,68,218,CSF,21-40,45,Broth Microdilution,0
2016,India,Maharashtra,Klebsiella pneumoniae,Oxacillin,21.4,57,266,Sputum,60+,55,E-test,0
2019,Uk,England,Staphylococcus aureus,Amikacin,27.7,102,368,Blood,60+,45,Disk Diffusion,0
2018,Uk,Wales,E.coli,Meropenem,31.9,49,153,Sputum,21-40,50,E-test,0
2017,Usa,California,Pseudomonas aeruginosa,Oxacillin,28.1,66,234,Sputum,Nov-20,55,MIC (Automated),0
2023,Uk,Northern Ireland,Klebsiella pneumoniae,Ciprofloxacin,30.7,97,316,Sputum,41-60,45,MIC (Automated),0
2023,Uk,Scotland,Staphylococcus aureus,Meropenem,33.4,18,55,Wound,41-60,45,E-test,0
2018,India,Tamil Nadu,E.coli,Meropenem,28.6,38,133,Wound,41-60,55,E-test,0
2017,India,Delhi,E.coli,Oxacillin,37.3,48,128,Blood,21-40,55,E-test,0
2018,India,Tamil Nadu,Klebsiella pneumoniae,Meropenem,28.0,78,277,Blood,60+,55,MIC (Automated),0
2015,Usa,New York,Pseudomonas aeruginosa,Ciprofloxacin,30.7,49,158,Urine,41-60,55,E-test,0
2021,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,38.2,91,239,Blood,21-40,45,E-test,0
2017,Uk,Scotland,Pseudomonas aeruginosa,Oxacillin,30.0,46,152,Blood,60+,55,Broth Microdilution,0
2017,Usa,California,Staphylococcus aureus,Ciprofloxacin,26.3,63,241,CSF,0-10,55,Broth Microdilution,0
2022,Usa,Texas,Staphylococcus aureus,Ciprofloxacin,30.2,101,335,Blood,21-40,55,MIC (Automated),0
2017,Uk,Wales,E.coli,Meropenem,22.6,40,177,CSF,60+,45,MIC (Automated),0
2021,Usa,Florida,Klebsiella pneumoniae,Amikacin,33.2,18,54,CSF,41-60,55,Broth Microdilution,0
2019,Uk,Scotland,Staphylococcus aureus,Oxacillin,41.6,49,118,Sputum,Nov-20,50,Disk Diffusion,0
2023,Uk,England,Klebsiella pneumoniae,Ciprofloxacin,47.3,89,189,CSF,60+,45,Disk Diffusion,0
2020,Uk,Wales,Staphylococcus aureus,Amikacin,34.9,72,207,Wound,Nov-20,50,Disk Diffusion,0
2024,Uk,Northern Ireland,Staphylococcus aureus,Amikacin,32.6,77,236,CSF,0-10,50,MIC (Automated),0
2022,Usa,Texas,Staphylococcus aureus,Meropenem,27.4,25,90,Wound,0-10,50,MIC (Automated),0
2018,Usa,New York,E.coli,Oxacillin,30.6,58,190,Blood,Nov-20,50,E-test,0
2023,India,Maharashtra,Pseudomonas aeruginosa,Amikacin,42.9,94,220,Urine,0-10,45,Broth Microdilution,0
2022,Usa,Florida,Klebsiella pneumoniae,Meropenem,37.3,28,75,CSF,21-40,50,E-test,0
2017,India,Maharashtra,Klebsiella pneumoniae,Amikacin,26.0,72,275,Blood,41-60,50,Broth Microdilution,0
2016,Uk,Northern Ireland,Pseudomonas aeruginosa,Meropenem,23.5,12,49,Blood,60+,55,Disk Diffusion,0
2022,Uk,Wales,Pseudomonas aeruginosa,Meropenem,35.2,46,130,Sputum,60+,55,MIC (Automated),0
2024,Usa,Texas,Staphylococcus aureus,Ciprofloxacin,27.8,36,128,Wound,21-40,55,Broth Microdilution,0
2024,Usa,California,E.coli,Meropenem,41.3,44,106,CSF,41-60,55,E-test,0
2020,India,Tamil Nadu,Staphylococcus aureus,Oxacillin,39.3,94,240,Blood,Nov-20,55,Disk Diffusion,0
2023,Uk,England,E.coli,Ciprofloxacin,42.1,97,230,Blood,60+,50,E-test,0
2018,Uk,Wales,E.coli,Amikacin,29.9,50,167,Wound,21-40,55,E-test,0
2023,India,Maharashtra,E.coli,Meropenem,43.8,106,241,CSF,60+,55,Disk Diffusion,0
2022,Usa,California,Klebsiella pneumoniae,Meropenem,35.0,64,184,Blood,41-60,50,Disk Diffusion,0
2022,India,Delhi,Staphylococcus aureus,Meropenem,33.1,23,68,Urine,Nov-20,45,Broth Microdilution,0
2015,Uk,Scotland,Klebsiella pneumoniae,Amikacin,20.6,62,300,Wound,60+,45,Disk Diffusion,0
2019,Usa,New York,E.coli,Oxacillin,25.2,22,87,Blood,21-40,45,MIC (Automated),0
2024,Uk,England,Klebsiella pneumoniae,Oxacillin,45.0,106,236,CSF,Nov-20,45,MIC (Automated),0
2020,India,Delhi,Staphylococcus aureus,Meropenem,26.9,42,156,Urine,21-40,50,E-test,0
2015,India,Kerala,E.coli,Ciprofloxacin,31.6,49,154,CSF,Nov-20,50,Disk Diffusion,0
2018,India,Maharashtra,E.coli,Amikacin,33.1,72,219,Sputum,21-40,50,E-test,0
2016,India,Delhi,Pseudomonas aeruginosa,Oxacillin,31.8,45,140,Sputum,21-40,45,Disk Diffusion,0
2018,Uk,England,Pseudomonas aeruginosa,Ciprofloxacin,36.5,57,157,CSF,60+,55,Broth Microdilution,0
2018,Usa,New York,Klebsiella pneumoniae,Meropenem,29.0,10,33,Sputum,41-60,45,E-test,0
2020,Usa,New York,E.coli,Meropenem,34.2,34,99,Urine,0-10,50,Disk Diffusion,0
2018,Usa,New York,Pseudomonas aeruginosa,Ciprofloxacin,35.7,37,104,Urine,41-60,50,MIC (Automated),0
2023,Usa,New York,E.coli,Amikacin,26.7,99,371,CSF,41-60,55,Disk Diffusion,0
2022,Usa,California,Staphylococcus aureus,Oxacillin,24.7,55,223,Blood,Nov-20,45,E-test,0
2017,India,Tamil Nadu,E.coli,Oxacillin,25.3,104,411,Sputum,Nov-20,50,MIC (Automated),0
2023,Usa,Texas,Staphylococcus aureus,Ciprofloxacin,30.0,16,54,CSF,60+,55,MIC (Automated),0
2015,Uk,England,E.coli,Amikacin,31.0,92,297,Blood,21-40,55,Broth Microdilution,0
2015,Usa,New York,Pseudomonas aeruginosa,Oxacillin,27.1,57,209,Sputum,60+,45,Disk Diffusion,0
2019,India,Tamil Nadu,Pseudomonas aeruginosa,Ciprofloxacin,37.1,120,324,Wound,Nov-20,45,E-test,0
2019,Usa,California,Klebsiella pneumoniae,Amikacin,39.4,85,215,Wound,Nov-20,45,Disk Diffusion,0
2018,India,Maharashtra,E.coli,Ciprofloxacin,35.1,70,200,Urine,60+,45,Broth Microdilution,0
2018,India,Maharashtra,Klebsiella pneumoniae,Ciprofloxacin,32.9,26,78,Urine,60+,50,Disk Diffusion,0
2021,India,Maharashtra,Pseudomonas aeruginosa,Oxacillin,43.8,133,303,Blood,41-60,45,Disk Diffusion,0
2018,Usa,Florida,Pseudomonas aeruginosa,Meropenem,23.1,38,163,Blood,41-60,55,E-test,0
2015,Usa,California,Pseudomonas aeruginosa,Meropenem,22.4,65,292,Sputum,0-10,55,MIC (Automated),0
2015,Usa,California,Klebsiella pneumoniae,Oxacillin,27.9,44,159,Sputum,41-60,45,MIC (Automated),0
2024,India,Tamil Nadu,Klebsiella pneumoniae,Ciprofloxacin,58.9,134,227,Urine,60+,50,Disk Diffusion,1
2015,Usa,Texas,E.coli,Meropenem,25.2,45,177,Blood,41-60,45,Broth Microdilution,0
2018,India,Delhi,Klebsiella pneumoniae,Meropenem,32.7,75,228,Urine,60+,50,MIC (Automated),0
2020,Usa,Texas,Staphylococcus aureus,Meropenem,22.1,29,132,Wound,0-10,45,MIC (Automated),0
2023,Usa,Texas,E.coli,Ciprofloxacin,41.8,68,162,Blood,0-10,50,E-test,0
2017,Usa,California,Pseudomonas aeruginosa,Meropenem,19.4,58,297,Urine,60+,55,MIC (Automated),0
2023,Usa,Florida,Staphylococcus aureus,Meropenem,34.8,34,97,Sputum,41-60,55,Broth Microdilution,0
2015,India,Delhi,E.coli,Oxacillin,18.4,34,186,Sputum,41-60,55,Disk Diffusion,0
2021,Uk,Scotland,E.coli,Amikacin,25.7,63,244,Sputum,41-60,50,MIC (Automated),0
2019,India,Delhi,E.coli,Meropenem,35.1,35,100,Sputum,0-10,45,Broth Microdilution,0
2016,India,Maharashtra,Staphylococcus aureus,Amikacin,21.0,69,327,CSF,0-10,45,MIC (Automated),0
2016,India,Delhi,Staphylococcus aureus,Amikacin,20.6,50,242,Sputum,21-40,55,MIC (Automated),0
2023,India,Maharashtra,Klebsiella pneumoniae,Amikacin,42.5,65,152,Sputum,Nov-20,45,Disk Diffusion,0
2020,Uk,Scotland,Klebsiella pneumoniae,Meropenem,24.3,70,290,Sputum,0-10,55,MIC (Automated),0
2018,Uk,Wales,Staphylococcus aureus,Amikacin,18.3,29,157,Wound,21-40,45,Disk Diffusion,0
2022,India,Kerala,Staphylococcus aureus,Ciprofloxacin,43.2,13,30,Wound,21-40,50,Broth Microdilution,0
2022,Usa,California,Pseudomonas aeruginosa,Meropenem,38.9,144,369,Wound,0-10,45,Broth Microdilution,0
2020,Uk,Northern Ireland,Pseudomonas aeruginosa,Ciprofloxacin,32.4,80,247,Urine,60+,45,E-test,0
2015,India,Maharashtra,Klebsiella pneumoniae,Meropenem,29.5,73,246,Wound,60+,50,Broth Microdilution,0
2022,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,54.1,119,220,Wound,21-40,50,Broth Microdilution,1
2015,Usa,Florida,Staphylococcus aureus,Oxacillin,21.2,37,174,Urine,41-60,55,E-test,0
2023,India,Tamil Nadu,Klebsiella pneumoniae,Oxacillin,47.6,90,190,Wound,41-60,45,Broth Microdilution,0
2024,India,Tamil Nadu,Klebsiella pneumoniae,Amikacin,41.5,145,350,CSF,60+,55,MIC (Automated),0
2015,Uk,Northern Ireland,Staphylococcus aureus,Oxacillin,28.8,12,42,CSF,60+,55,MIC (Automated),0
2018,Usa,New York,Klebsiella pneumoniae,Amikacin,26.5,74,281,Sputum,41-60,50,MIC (Automated),0
2022,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,37.6,23,60,CSF,60+,55,Broth Microdilution,0
2019,Uk,England,E.coli,Oxacillin,42.8,124,290,Wound,21-40,55,Broth Microdilution,0
2022,Uk,Scotland,Klebsiella pneumoniae,Meropenem,41.7,89,214,Wound,Nov-20,45,MIC (Automated),0
2018,India,Tamil Nadu,Klebsiella pneumoniae,Oxacillin,42.0,93,222,Urine,41-60,50,MIC (Automated),0
2019,Usa,California,Staphylococcus aureus,Meropenem,29.0,59,202,CSF,41-60,45,MIC (Automated),0
2017,Uk,England,E.coli,Amikacin,34.7,88,253,CSF,60+,55,MIC (Automated),0
2015,India,Maharashtra,Klebsiella pneumoniae,Amikacin,27.7,95,344,CSF,41-60,50,E-test,0
2024,India,Tamil Nadu,Klebsiella pneumoniae,Meropenem,41.6,39,94,Wound,41-60,55,Disk Diffusion,0
2024,India,Maharashtra,Klebsiella pneumoniae,Oxacillin,38.5,69,178,Sputum,60+,45,E-test,0
